country_code,name,phone,email,description
TH,Embassy of Japan Address,"177 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330",,Japan
TH,Embassy of Japan Phone,+66 2 207 8500,,Japan
TH,Embassy of France Address,"35 Charoenkrung Soi 36, Bang Rak, Bangkok 10500",,France
TH,Embassy of France Phone,+66 2 657 5100,,France
TH,US Embassy Address,"120-122 Wireless Rd, Lumphini, Pathum Wan, Bangkok 10330",,United States
TH,US Embassy Phone,+66 2 205 4000,,United States
TH,Embassy of Italy Address,"399 Nang Linchi Rd, Chong Nonsi, Yan Nawa, Bangkok 10120",,Italy
TH,Embassy of Italy Phone,+66 2 285 4090,,Italy
TH,Embassy of Spain Address,"93/98 Sathorn Thani 2, North Sathorn Rd, Silom, Bangrak, Bangkok 10500",,Spain
TH,Embassy of Spain Phone,+66 2 661 8284,,Spain
TH,Embassy of Turkey Address,"61/1 Soi 5, Ruamrudee, Ploenchit Rd, Lumpini, Pathumwan, Bangkok 10330",,Turkey
TH,Embassy of Turkey Phone,+66 2 253 0151,,Turkey
TH,Embassy of Germany Address,"9 South Sathorn Rd, Yannawa, Sathorn, Bangkok 10120",,Germany
TH,Embassy of Germany Phone,+66 2 287 9000,,Germany
TH,Embassy of Mexico Address,"20th Floor, Unit 2004, 142 Two Pacific Place, Sukhumvit Rd, Klongtoey, Bangkok 10110",,Mexico
TH,Embassy of Mexico Phone,+66 2 250 0112,,Mexico
US,Embassy of Japan Address,"2520 Massachusetts Ave NW, Washington, DC 20008",,Japan
US,Embassy of Japan Phone,+1 202-238-6700,,Japan
US,Embassy of France Address,"4101 Reservoir Rd NW, Washington, DC 20007",,France
US,Embassy of France Phone,+1 202-944-6000,,France
US,Royal Thai Embassy Address,"1024 Wisconsin Ave NW, Washington, DC 20007",,Thailand
US,Royal Thai Embassy Phone,+1 202-944-3600,,Thailand
US,Embassy of Italy Address,"3000 Whitehaven St NW, Washington, DC 20008",,Italy
US,Embassy of Italy Phone,+1 202-612-4400,,Italy
US,Embassy of Spain Address,"2375 Pennsylvania Ave NW, Washington, DC 20037",,Spain
US,Embassy of Spain Phone,+1 202-728-2340,,Spain
US,Embassy of Turkey Address,"2525 Massachusetts Ave NW, Washington, DC 20008",,Turkey
US,Embassy of Turkey Phone,+1 202-612-6700,,Turkey
US,Embassy of Germany Address,"4645 Reservoir Rd NW, Washington, DC 20007",,Germany
US,Embassy of Germany Phone,+1 202-298-4000,,Germany
US,Embassy of Mexico Address,"1911 Pennsylvania Ave NW, Washington, DC 20006",,Mexico
US,Embassy of Mexico Phone,+1 202-728-1600,,Mexico
IT,Embassy of Japan Address,"Via Quintino Sella, 60, 00187 Roma RM",,Japan
IT,Embassy of Japan Phone,+39 06 487 991,,Japan
IT,Embassy of France Address,"Piazza Farnese, 67, 00186 Roma RM",,France
IT,Embassy of France Phone,+39 06 686011,,France
IT,Royal Thai Embassy Address,"Via Nomentana, 132, 00162 Roma RM",,Thailand
IT,Royal Thai Embassy Phone,+39 06 8622 0531,,Thailand
IT,US Embassy Address,"Via Vittorio Veneto, 121, 00187 Roma RM",,United States
IT,US Embassy Phone,+39 06 46741,,United States
IT,Embassy of Spain Address,"Largo dei Lombardi, 21, 00186 Roma RM",,Spain
IT,Embassy of Spain Phone,+39 06 684 0401,,Spain
IT,Embassy of Turkey Address,"Via Palestro, 28, 00185 Roma RM",,Turkey
IT,Embassy of Turkey Phone,+39 06 445 941,,Turkey
IT,Embassy of Germany Address,"Via San Martino della Battaglia, 4, 00185 Roma RM",,Germany
IT,Embassy of Germany Phone,+39 06 49213,,Germany
IT,Embassy of Mexico Address,"Via Lazzaro Spallanzani, 16, 00161 Roma RM",,Mexico
IT,Embassy of Mexico Phone,+39 06 441 6061,,Mexico
ES,Embassy of Japan Address,"Calle Serrano, 109, 28006 Madrid",,Japan
ES,Embassy of Japan Phone,+34 91 590 7600,,Japan
ES,Embassy of France Address,"Calle Salustiano Olózaga, 9, 28001 Madrid",,France
ES,Embassy of France Phone,+34 91 423 8900,,France
ES,Royal Thai Embassy Address,"Calle Joaquín Costa, 29, 28002 Madrid",,Thailand
ES,Royal Thai Embassy Phone,+34 91 563 2620,,Thailand
ES,US Embassy Address,"Calle de Serrano, 75, 28006 Madrid",,United States
ES,US Embassy Phone,+34 91 587 2200,,United States
ES,Embassy of Italy Address,"Calle de Lagasca, 98, 28006 Madrid",,Italy
ES,Embassy of Italy Phone,+34 91 423 3300,,Italy
ES,Embassy of Turkey Address,"Calle Rafael Calvo, 18, 28010 Madrid",,Turkey
ES,Embassy of Turkey Phone,+34 91 319 8004,,Turkey
ES,Embassy of Germany Address,"Calle de Fortuny, 8, 28010 Madrid",,Germany
ES,Embassy of Germany Phone,+34 91 557 9000,,Germany
ES,Embassy of Mexico Address,"Calle de la Carrera de San Jerónimo, 46, 28014 Madrid",,Mexico
ES,Embassy of Mexico Phone,+34 91 369 2814,,Mexico
TR,Royal Thai Embassy Address,"Koza Sokak No:87, Gaziosmanpasa, 06700 Ankara",,Thailand
TR,Royal Thai Embassy Phone,+90 312 437 4318,,Thailand
TR,US Embassy Address,"Atatürk Bulvari No:110, Kavaklidere, 06100 Ankara",,United States
TR,US Embassy Phone,+90 312 455 5555,,United States
TR,Embassy of Italy Address,"Atatürk Bulvari No:118, Kavaklidere, 06680 Ankara",,Italy
TR,Embassy of Italy Phone,+90 312 457 4200,,Italy
TR,Embassy of Spain Address,"Hilal Mahallesi, Rabindranath Tagore Cd. No:58, 06550 Ankara",,Spain
TR,Embassy of Spain Phone,+90 312 446 8057,,Spain
TR,Embassy of Germany Address,"Atatürk Bulvari No:114, Kavaklidere, 06680 Ankara",,Germany
TR,Embassy of Germany Phone,+90 312 455 5100,,Germany
TR,Embassy of Mexico Address,"Rabindranath Tagore Cd. No:58, 06650 Ankara",,Mexico
TR,Embassy of Mexico Phone,+90 312 446 6095,,Mexico
DE,Embassy of Japan Address,"Hiroshimastr. 6, 10785 Berlin",,Japan
DE,Embassy of Japan Phone,+49 30 210 940,,Japan
DE,Embassy of France Address,"Pariser Platz 5, 10117 Berlin",,France
DE,Embassy of France Phone,+49 30 590 039 000,,France
DE,Royal Thai Embassy Address,"Lepsiusstrasse 64/66, 12163 Berlin",,Thailand
DE,Royal Thai Embassy Phone,+49 30 794 810,,Thailand
DE,US Embassy Address,"Pariser Platz 2, 10117 Berlin",,United States
DE,US Embassy Phone,+49 30 8305 0,,United States
DE,Embassy of Italy Address,"Hiroshimastr. 1, 10785 Berlin",,Italy
DE,Embassy of Italy Phone,+49 30 254 400,,Italy
DE,Embassy of Spain Address,"Lichtensteinallee 1, 10787 Berlin",,Spain
DE,Embassy of Spain Phone,+49 30 254 0070,,Spain
DE,Embassy of Turkey Address,"Tiergartenstr. 19-21, 10785 Berlin",,Turkey
DE,Embassy of Turkey Phone,+49 30 275 850,,Turkey
DE,Embassy of Mexico Address,"Klingelhöferstr. 3, 10785 Berlin",,Mexico
DE,Embassy of Mexico Phone,+49 30 269 3230,,Mexico
MX,Embassy of Japan Address,"Paseo de la Reforma 395, Lomas de Chapultepec, 11000 CDMX",,Japan
MX,Embassy of Japan Phone,+52 55 5211 0028,,Japan
MX,Embassy of France Address,"Campos Elíseos 339, Polanco, 11560 CDMX",,France
MX,Embassy of France Phone,+52 55 9171 9700,,France
MX,Royal Thai Embassy Address,"Av. Paseo de las Palmas 425, Lomas de Chapultepec, 11000 CDMX",,Thailand
MX,Royal Thai Embassy Phone,+52 55 5203 9832,,Thailand
MX,US Embassy Address,"Paseo de la Reforma 305, Colonia Cuauhtémoc, 06500 CDMX",,United States
MX,US Embassy Phone,+52 55 5080 2000,,United States
MX,Embassy of Italy Address,"Paseo de las Palmas 1994, Lomas de Chapultepec, 11000 CDMX",,Italy
MX,Embassy of Italy Phone,+52 55 5596 3655,,Italy
MX,Embassy of Spain Address,"Galileo 114, Colonia Polanco, 11560 CDMX",,Spain
MX,Embassy of Spain Phone,+52 55 5520 2010,,Spain
MX,Embassy of Turkey Address,"Monte Líbano 885, Lomas de Chapultepec, 11000 CDMX",,Turkey
MX,Embassy of Turkey Phone,+52 55 5280 4614,,Turkey
MX,Embassy of Germany Address,"Calle Horacio 1506, Polanco, 11510 CDMX",,Germany
MX,Embassy of Germany Phone,+52 55 5283 2200,,Germany
GB,Embassy Address,"58 Knightsbridge, London SW1X 7JT",,France
GB,Embassy Phone,+44 20 7073 1000,,France
GB,Embassy Address,"101-104 Piccadilly, London W1J 7JT",,Japan
GB,Embassy Phone,+44 20 7465 6500,,Japan
GB,Embassy Address,"29-30 Queen's Gate, London SW7 5JB",,Thailand
GB,Embassy Phone,+44 20 7589 2944,,Thailand
GB,Embassy Address,"33 Nine Elms Lane, London SW11 7US",,United States
GB,Embassy Phone,+44 20 7499 9000,,United States
GB,Embassy Address,"14 Three Kings Yard, London W1K 4EH",,Italy
GB,Embassy Phone,+44 20 7312 2200,,Italy
GB,Embassy Address,"39 Chesham Place, London SW1X 8SB",,Spain
GB,Embassy Phone,+44 20 7235 5555,,Spain
GB,Embassy Address,"43 Belgrave Square, London SW1X 8PA",,Turkey
GB,Embassy Phone,+44 20 7393 0202,,Turkey
GB,Embassy Address,"23 Belgrave Square, London SW1X 8PZ",,Germany
GB,Embassy Phone,+44 20 7824 1300,,Germany
GB,Embassy Address,"16 St George Street, London W1S 1FD",,Mexico
GB,Embassy Phone,+44 20 7907 9494,,Mexico
GB,Embassy Address,"1A Holland Park, London W11 3TP",,Greece
GB,Embassy Phone,+44 20 7229 3850,,Greece
GB,Embassy Address,"49-51 Portland Place, London W1B 1JL",,China
GB,Embassy Phone,+44 20 7299 4049,,China
GB,Embassy Address,"18 Belgrave Mews West, London SW1X 8HU",,Austria
GB,Embassy Phone,+44 20 7344 3250,,Austria
GB,Embassy Address,"11 Belgrave Square, London SW1X 8PP",,Portugal
GB,Embassy Phone,+44 20 7235 5331,,Portugal
GB,Embassy Address,"30 Princes Gate, London SW7 1PT",,UAE
GB,Embassy Phone,+44 20 7581 1281,,UAE
GB,Embassy Address,"38 Hyde Park Gate, London SW7 5DP",,Netherlands
GB,Embassy Phone,+44 20 7590 3200,,Netherlands
GB,Embassy Address,"21 Conway Street, London W1T 6BN",,Croatia
GB,Embassy Phone,+44 20 7387 2022,,Croatia
GB,Embassy Address,"16-18 Montagu Place, London W1H 2BQ",,Switzerland
GB,Embassy Phone,+44 20 7616 6000,,Switzerland
GB,Embassy Address,"38 Grosvenor Square, London W1K 2HW",,Indonesia
GB,Embassy Phone,+44 20 7499 7661,,Indonesia
GB,Embassy Address,"12-14 Victoria Road, London W8 5RD",,Vietnam
GB,Embassy Phone,+44 20 7937 1912,,Vietnam
GB,Embassy Address,"Australia House, Strand, London WC2B 4LA",,Australia
GB,Embassy Phone,+44 20 7379 4334,,Australia
GB,Embassy Address,"45 Belgrave Square, London SW1X 8QT",,Malaysia
GB,Embassy Phone,+44 20 7235 8033,,Malaysia
GB,Embassy Address,"60 Buckingham Gate, London SW1E 6AJ",,South Korea
GB,Embassy Phone,+44 20 7227 5500,,South Korea
GB,Embassy Address,"India House, Aldwych, London WC2B 4NA",,India
GB,Embassy Phone,+44 20 7836 8484,,India
GB,Embassy Address,"30 Charles St, London W1J 5DZ",,Saudi Arabia
GB,Embassy Phone,+44 20 7917 3000,,Saudi Arabia
GB,Embassy Address,"Canada House, Trafalgar Square, London SW1Y 5BJ",,Canada
GB,Embassy Phone,+44 20 7004 6000,,Canada
GB,Embassy Address,"14-16 Cockspur St, London SW1Y 5BL",,Brazil
GB,Embassy Phone,+44 20 7747 4500,,Brazil
GB,Embassy Address,"26 South Street, London W1K 1DW",,Egypt
GB,Embassy Phone,+44 20 7499 3304,,Egypt
GB,Embassy Address,"49 Queen's Gate Gardens, London SW7 5NE",,Morocco
GB,Embassy Phone,+44 20 7581 5001,,Morocco
GR,Embassy Address,"6 Vasilissis Sofias Ave, 10674 Athens",,France
GR,Embassy Phone,+30 210 339 1000,,France
GR,Embassy Address,"46 Ethnikis Antistaseos, 15231 Chalandri, Athens",,Japan
GR,Embassy Phone,+30 210 670 9900,,Japan
GR,Embassy Address,"23 Vasilissis Sofias Ave, 10674 Athens",,Thailand
GR,Embassy Phone,+30 210 721 4034,,Thailand
GR,Embassy Address,"91 Vasilissis Sofias Ave, 10160 Athens",,United States
GR,Embassy Phone,+30 210 721 2951,,United States
GR,Embassy Address,"2 Sekeri St, 10674 Athens",,Italy
GR,Embassy Phone,+30 210 361 7260,,Italy
GR,Embassy Address,"21 Dionysiou Areopagitou, 11742 Athens",,Spain
GR,Embassy Phone,+30 210 921 3121,,Spain
GR,Embassy Address,"Vasilissis Sofias Ave 97, 11521 Athens",,Turkey
GR,Embassy Phone,+30 210 728 5130,,Turkey
GR,Embassy Address,"3 Karaoli & Dimitriou St, 10675 Athens",,Germany
GR,Embassy Phone,+30 210 728 5111,,Germany
GR,Embassy Address,"2 Vasileos Konstantinou Ave, 11635 Athens",,Mexico
GR,Embassy Phone,+30 210 729 4780,,Mexico
GR,Embassy Address,"1 Ploutarchou St, 10675 Athens",,United Kingdom
GR,Embassy Phone,+30 210 727 2600,,United Kingdom
GR,Embassy Address,(N/A - Home country),,Greece
GR,Embassy Address,"10A Faros St, 15452 Psychiko, Athens",,China
GR,Embassy Phone,+30 210 672 5538,,China
GR,Embassy Address,"4 Vasilissis Sofias Ave, 10674 Athens",,Austria
GR,Embassy Phone,+30 210 725 7270,,Austria
GR,Embassy Address,"6 Vasileos Georgiou II St, 10674 Athens",,Portugal
GR,Embassy Phone,+30 210 924 4558,,Portugal
GR,Embassy Address,"5 Kifisias Ave, 11523 Athens",,UAE
GR,Embassy Phone,+30 210 674 6185,,UAE
GR,Embassy Address,"64 Kifisias Ave, 11526 Athens",,Netherlands
GR,Embassy Phone,+30 210 725 4900,,Netherlands
GR,Embassy Address,"6-8 Filellinon St, 10557 Athens",,Croatia
GR,Embassy Phone,+30 210 323 9188,,Croatia
GR,Embassy Address,"3 Irodotou St, 10674 Athens",,Switzerland
GR,Embassy Phone,+30 210 723 0361,,Switzerland
GR,Embassy Address,"19 Vasileos Georgiou II St, 10675 Athens",,Indonesia
GR,Embassy Phone,+30 210 721 4940,,Indonesia
GR,Embassy Address,"50 Ypsilantou St, 11521 Athens",,Vietnam
GR,Embassy Phone,+30 210 612 8733,,Vietnam
GR,Embassy Address,"5 Hatziyianni Mexi St, 11528 Athens",,Australia
GR,Embassy Phone,+30 210 870 4000,,Australia
GR,Embassy Address,"23 Vasilissis Sofias Ave, 10674 Athens",,Malaysia
GR,Embassy Phone,+30 210 729 5127,,Malaysia
GR,Embassy Address,"48 Ypsilantou St, 11521 Athens",,South Korea
GR,Embassy Phone,+30 210 698 4080,,South Korea
GR,Embassy Address,"3 Kleanthous St, 10674 Athens",,India
GR,Embassy Phone,+30 210 721 6481,,India
GR,Embassy Address,"26 Vasilissis Sofias Ave, 10676 Athens",,Saudi Arabia
GR,Embassy Phone,+30 210 671 6171,,Saudi Arabia
GR,Embassy Address,"50 Ethnikis Antistaseos, 15231 Chalandri, Athens",,Canada
GR,Embassy Phone,+30 210 727 3400,,Canada
GR,Embassy Address,"23 Vasilissis Sofias Ave, 10674 Athens",,Brazil
GR,Embassy Phone,+30 210 721 3039,,Brazil
GR,Embassy Address,"3 Vasileos Georgiou II St, 10674 Athens",,Egypt
GR,Embassy Phone,+30 210 361 7462,,Egypt
GR,Embassy Address,"5 Vasilissis Sofias Ave, 10674 Athens",,Morocco
GR,Embassy Phone,+30 210 362 2201,,Morocco
CN,Embassy Address,"60 Tianze Road, Chaoyang, Beijing 100600",,France
CN,Embassy Phone,+86 10 8531 2000,,France
CN,Embassy Address,"1 Liangmaqiao Beijie, Chaoyang, Beijing 100600",,Japan
CN,Embassy Phone,+86 10 8531 9800,,Japan
CN,Embassy Address,"40 Guanghua Rd, Chaoyang, Beijing 100600",,Thailand
CN,Embassy Phone,+86 10 6532 1749,,Thailand
CN,Embassy Address,"55 Anjialou Rd, Chaoyang, Beijing 100600",,United States
CN,Embassy Phone,+86 10 8531 3000,,United States
CN,Embassy Address,"2 Dong Er Jie, Sanlitun, Chaoyang, Beijing 100600",,Italy
CN,Embassy Phone,+86 10 6532 2187,,Italy
CN,Embassy Address,"9 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,Spain
CN,Embassy Phone,+86 10 6532 3629,,Spain
CN,Embassy Address,"9 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,Turkey
CN,Embassy Phone,+86 10 6532 1715,,Turkey
CN,Embassy Address,"17 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,Germany
CN,Embassy Phone,+86 10 8532 9000,,Germany
CN,Embassy Address,"5-1-1, Ta Yuan Diplomatic Office Building, 1 Xindong Lu, Chaoyang, Beijing 100600",,Mexico
CN,Embassy Phone,+86 10 8532 1708,,Mexico
CN,Embassy Address,"11 Guanghua Lu, Chaoyang, Beijing 100600",,United Kingdom
CN,Embassy Phone,+86 10 5192 4000,,United Kingdom
CN,Embassy Address,"19 Dongzhimenwai Dajie, Chaoyang, Beijing 100600",,Greece
CN,Embassy Phone,+86 10 6532 0731,,Greece
CN,Embassy Address,(N/A - Home country),,China
CN,Embassy Address,"5 Dong Er Jie, Sanlitun, Chaoyang, Beijing 100600",,Austria
CN,Embassy Phone,+86 10 6532 2061,,Austria
CN,Embassy Address,"9 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,Portugal
CN,Embassy Phone,+86 10 6532 7881,,Portugal
CN,Embassy Address,"10 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,UAE
CN,Embassy Phone,+86 10 6532 4242,,UAE
CN,Embassy Address,"4 Liangmahe Nanlu, Chaoyang, Beijing 100600",,Netherlands
CN,Embassy Phone,+86 10 8532 0200,,Netherlands
CN,Embassy Address,"2-3-2, Ta Yuan Diplomatic Office Building, 1 Xindong Lu, Chaoyang, Beijing 100600",,Croatia
CN,Embassy Phone,+86 10 6532 2216,,Croatia
CN,Embassy Address,"3 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,Switzerland
CN,Embassy Phone,+86 10 8532 8888,,Switzerland
CN,Embassy Address,"4 Dong Zhi Men Wai Da Jie, Chaoyang, Beijing 100600",,Indonesia
CN,Embassy Phone,+86 10 6532 5481,,Indonesia
CN,Embassy Address,"32 Guanghua Lu, Chaoyang, Beijing 100600",,Vietnam
CN,Embassy Phone,+86 10 6532 1155,,Vietnam
CN,Embassy Address,"21 Dongzhimenwai Dajie, Chaoyang, Beijing 100600",,Australia
CN,Embassy Phone,+86 10 5140 4111,,Australia
CN,Embassy Address,"2 Liang Ma Qiao Bei Jie, Chaoyang, Beijing 100600",,Malaysia
CN,Embassy Phone,+86 10 6532 2531,,Malaysia
CN,Embassy Address,"20 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,South Korea
CN,Embassy Phone,+86 10 8531 0700,,South Korea
CN,Embassy Address,"5 Liang Ma Qiao Bei Jie, Chaoyang, Beijing 100600",,India
CN,Embassy Phone,+86 10 8531 2500,,India
CN,Embassy Address,"3 San Li Tun Dong 6 Jie, Chaoyang, Beijing 100600",,Saudi Arabia
CN,Embassy Phone,+86 10 6532 2820,,Saudi Arabia
CN,Embassy Address,"19 Dongzhimenwai Dajie, Chaoyang, Beijing 100600",,Canada
CN,Embassy Phone,+86 10 5139 4000,,Canada
CN,Embassy Address,"27 Guanghua Lu, Chaoyang, Beijing 100600",,Brazil
CN,Embassy Phone,+86 10 6532 2881,,Brazil
CN,Embassy Address,"2 Dong Wu Jie, Sanlitun, Chaoyang, Beijing 100600",,Egypt
CN,Embassy Phone,+86 10 6532 3152,,Egypt
CN,Embassy Address,"3-2-1, Ta Yuan Diplomatic Office Building, 1 Xindong Lu, Chaoyang, Beijing 100600",,Morocco
CN,Embassy Phone,+86 10 6532 2742,,Morocco
AT,Embassy Address,"Prinz-Eugen-Straße 12-14, 1040 Vienna",,France
AT,Embassy Phone,+43 1 505 86 0,,France
AT,Embassy Address,"Rennweg 27, 1030 Vienna",,Japan
AT,Embassy Phone,+43 1 713 39 10,,Japan
AT,Embassy Address,"Reisnerstraße 32, 1030 Vienna",,Thailand
AT,Embassy Phone,+43 1 713 39 25,,Thailand
AT,Embassy Address,"Boltzmanngasse 16, 1090 Vienna",,United States
AT,Embassy Phone,+43 1 313 39 0,,United States
AT,Embassy Address,"Prinz-Eugen-Straße 8-10, 1040 Vienna",,Italy
AT,Embassy Phone,+43 1 505 28 0,,Italy
AT,Embassy Address,"Rennweg 27, 1030 Vienna",,Spain
AT,Embassy Phone,+43 1 713 39 30,,Spain
AT,Embassy Address,"Rennweg 27, 1030 Vienna",,Turkey
AT,Embassy Phone,+43 1 713 39 40,,Turkey
AT,Embassy Address,"Prinz-Eugen-Straße 12-14, 1040 Vienna",,Germany
AT,Embassy Phone,+43 1 505 86 0,,Germany
AT,Embassy Address,"Seilerstätte 16, 1010 Vienna",,Mexico
AT,Embassy Phone,+43 1 512 31 0,,Mexico
AT,Embassy Address,"18 Belgrave Mews West, London SW1X 8HU (UK Embassy in Austria)",,United Kingdom
PT,Embassy Address,"Avenida das Descobertas 15, 1400-092 Lisboa",,France
PT,Embassy Phone,+351 21 392 2600,,France
PT,Embassy Address,"Avenida das Descobertas 71, 1400-092 Lisboa",,Japan
PT,Embassy Phone,+351 21 392 2600,,Japan
PT,Embassy Address,"Avenida da Liberdade 245, 1250-143 Lisboa",,Thailand
PT,Embassy Phone,+351 21 392 2600,,Thailand
PT,Embassy Address,Avenida das Forças Armadas 1600-081 Lisboa,,United States
PT,Embassy Phone,+351 21 727 3300,,United States
PT,Embassy Address,"Avenida da Liberdade 180, 1250-146 Lisboa",,Italy
PT,Embassy Phone,+351 21 392 2600,,Italy
PT,Embassy Address,"Avenida da Liberdade 38, 1250-140 Lisboa",,Spain
PT,Embassy Phone,+351 21 392 2600,,Spain
PT,Embassy Address,"Avenida da Liberdade 150, 1250-140 Lisboa",,Turkey
PT,Embassy Phone,+351 21 392 2600,,Turkey
PT,Embassy Address,"Avenida das Descobertas 142, 1400-092 Lisboa",,Germany
PT,Embassy Phone,+351 21 392 2600,,Germany
PT,Embassy Address,"Avenida das Descobertas 15, 1400-092 Lisboa",,Mexico
PT,Embassy Phone,+351 21 392 2600,,Mexico
PT,Embassy Address,"11 Belgrave Square, London SW1X 8PP (UK Embassy in Portugal)",,United Kingdom
AE,Embassy Address,"15 Corniche Rd, Abu Dhabi",,France
AE,Embassy Phone,+971 2 681 8800,,France
AE,Embassy Address,"Abu Dhabi, Al Bateen Area",,Japan
AE,Embassy Phone,+971 2 681 1300,,Japan
AE,Embassy Address,"Abu Dhabi, Khalifa City",,Thailand
AE,Embassy Phone,+971 2 444 4880,,Thailand
AE,Embassy Address,"17th St, Abu Dhabi",,United States
AE,Embassy Phone,+971 2 414 2200,,United States
AE,Embassy Address,Abu Dhabi,,Italy
AE,Embassy Phone,+971 2 681 0000,,Italy
AE,Embassy Address,Abu Dhabi,,Spain
AE,Embassy Phone,+971 2 681 0000,,Spain
AE,Embassy Address,Abu Dhabi,,Turkey
AE,Embassy Phone,+971 2 681 0000,,Turkey
AE,Embassy Address,Abu Dhabi,,Germany
AE,Embassy Phone,+971 2 681 0000,,Germany
AE,Embassy Address,Abu Dhabi,,Mexico
AE,Embassy Phone,+971 2 681 0000,,Mexico
AE,Embassy Address,"15 Corniche Rd, Abu Dhabi",,United Kingdom
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,France
NL,Embassy Phone,+31 70 427 7300,,France
NL,Embassy Address,"1e Constantijn Huygensstraat 104, 2518 Amsterdam",,Japan
NL,Embassy Phone,+31 20 675 5300,,Japan
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,Thailand
NL,Embassy Phone,+31 70 427 7300,,Thailand
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,United States
NL,Embassy Phone,+31 70 312 2500,,United States
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,Italy
NL,Embassy Phone,+31 70 427 7300,,Italy
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,Spain
NL,Embassy Phone,+31 70 427 7300,,Spain
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,Turkey
NL,Embassy Phone,+31 70 427 7300,,Turkey
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,Germany
NL,Embassy Phone,+31 70 427 7300,,Germany
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,Mexico
NL,Embassy Phone,+31 70 427 7300,,Mexico
NL,Embassy Address,"Lange Voorhout 102, 2514 EJ The Hague",,United Kingdom
HR,Embassy Address,"Hebrangova 2, 10000 Zagreb",,France
HR,Embassy Phone,+385 1 489 3600,,France
HR,Embassy Address,"Boškovićeva 2, 10000 Zagreb",,Japan
HR,Embassy Phone,+385 1 4870 650,,Japan
HR,Embassy Address,"Miramarska 23, 10000 Zagreb",,Thailand
HR,Embassy Phone,+385 1 6156 731,,Thailand
HR,Embassy Address,"Thomasa Jeffersona 2, 10010 Zagreb",,United States
HR,Embassy Phone,+385 1 661 2200,,United States
